codmpio,tipo_eleccion,total_partidos,total_votos,margen_prop,log_margen_prop,nep_lt,nep_g,log_nep_lt,log_nep_g,dummy_farc,votos_farc,prop_votos_farc,log_prop_votos_farc,coddepto,departamento,municipio,dummy_pdet,dummy_etcr,nombre_cep,dummy_cep,pob_2019,log_pob_2019,magnitud_distrito,censo_electoral_2018,mdm_2017,o_aband_tierras,o_acto_terror,o_amenazas,o_delito_sex,o_desap_for,o_desplaza,o_homic,o_minas_anti,o_perd_mue,o_secuest,o_hsininfo,o_tortura,o_vinc_mened,log_o_aband_tierras,log_o_acto_terror,log_o_amenazas,log_o_delito_sex,log_o_desap_for,log_o_desplaza,log_o_homic,log_o_minas_anti,log_o_perd_mue,log_o_secuest,log_o_hsininfo,log_o_tortura,log_o_vinc_mened,o_aband_tierras_last,o_acto_terror_last,o_amenazas_last,o_delito_sex_last,o_desap_for_last,o_desplaza_last,o_homic_last,o_minas_anti_last,o_perd_mue_last,o_secuest_last,o_hsininfo_last,o_tortura_last,o_vinc_mened_last,log_o_aband_tierras_last,log_o_acto_terror_last,log_o_amenazas_last,log_o_delito_sex_last,log_o_desap_for_last,log_o_desplaza_last,log_o_homic_last,log_o_minas_anti_last,log_o_perd_mue_last,log_o_secuest_last,log_o_hsininfo_last,log_o_tortura_last,log_o_vinc_mened_last,provincia,areaoficialkm2,discapital,disbogota,log_areaoficialkm2,log_discapital,log_disbogota
05001,ALCALDE,12,705199,0.09687336482326264,-2.3343506706948225,3.1600260491801335,2.7634223306295995,1.1505802709762787,1.0164698864609338,0,0,0,NA,05,ANTIOQUIA,MEDELLIN,0,0,NA,0,2483545,14.725197532954674,1,1558824,71.59,0,1896,24902,378,3774,137902,60873,33,1003,404,2,158,152,-9.210340371976182,7.5475017355575815,10.1227034045281,5.934894460169817,8.2358907524255809,11.834298567664609,11.016545007278499,3.496510591764919,6.910750887662828,6.001415125485872,0.693197179309987,5.062595665938159,5.023881178740797,0,37,4125,40,6,14458,54,1,52,2,0,8,2,-9.210340371976182,3.610920615343275,8.324821323011205,3.6888819541108115,1.7917761357558344,9.579003180476828,3.9889858984144118,9.999500033329732e-5,3.9512456416565014,0.693197179309987,-9.210340371976182,2.0794540416017115,0.693197179309987,Valle del aburra,387,0,264.339,5.958424693029782,-11.512925464970229,5.5772324081459805
05001,CONCEJO,15,599119,0.16505235186999578,-1.801492571344919,7.305975847405799,5.920755118371981,1.9886926225102215,1.7784639945406737,1,2476,0.004132734899076811,-5.46490694660111,05,ANTIOQUIA,MEDELLIN,0,0,NA,0,2483545,14.725197532954674,21,1558824,71.59,0,1896,24902,378,3774,137902,60873,33,1003,404,2,158,152,-9.210340371976182,7.5475017355575815,10.1227034045281,5.934894460169817,8.2358907524255809,11.834298567664609,11.016545007278499,3.496510591764919,6.910750887662828,6.001415125485872,0.693197179309987,5.062595665938159,5.023881178740797,0,37,4125,40,6,14458,54,1,52,2,0,8,2,-9.210340371976182,3.610920615343275,8.324821323011205,3.6888819541108115,1.7917761357558344,9.579003180476828,3.9889858984144118,9.999500033329732e-5,3.9512456416565014,0.693197179309987,-9.210340371976182,2.0794540416017115,0.693197179309987,Valle del aburra,387,0,264.339,5.958424693029782,-11.512925464970229,5.5772324081459805
05002,ALCALDE,5,8024,0.1372133599202393,-1.9862181929190914,4.037118281792147,3.334679084039321,1.3955311408699087,1.204376448062637,0,0,0,NA,05,ANTIOQUIA,ABEJORRAL,0,0,NA,0,20258,9.916305056246742,1,15346,44.05,0,64,510,20,91,10109,888,7,39,74,0,12,1,-9.210340371976182,4.158884645858452,6.234410921796783,2.995737273541491,4.510860605417345,9.221181405046233,6.7889718556047765,1.945924434667559,3.663564210228923,4.304066444554608,-9.210340371976182,2.4849149830866115,9.999500033329732e-5,0,0,13,0,0,41,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,2.5649570497396432,-9.210340371976182,-9.210340371976182,3.713574505725724,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,497,58.20087,209.0054,6.208590026096629,4.063900474897996,5.34236013679726
05002,CONCEJO,11,7437,0.015597687239478297,-4.160632629596935,6.216433359682391,6.2129615330066725,1.827196327443864,1.8266376796905364,0,0,0,NA,05,ANTIOQUIA,ABEJORRAL,0,0,NA,0,20258,9.916305056246742,13,15346,44.05,0,64,510,20,91,10109,888,7,39,74,0,12,1,-9.210340371976182,4.158884645858452,6.234410921796783,2.995737273541491,4.510860605417345,9.221181405046233,6.7889718556047765,1.945924434667559,3.663564210228923,4.304066444554608,-9.210340371976182,2.4849149830866115,9.999500033329732e-5,0,0,13,0,0,41,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,2.5649570497396432,-9.210340371976182,-9.210340371976182,3.713574505725724,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,497,58.20087,209.0054,6.208590026096629,4.063900474897996,5.34236013679726
05004,ALCALDE,3,1436,0.2883008356545961,-1.2437507757828552,2.5520232072314686,2.0176411354923522,0.9368864591839341,0.7019290743495609,0,0,0,NA,05,ANTIOQUIA,ABRIAQUI,0,0,NA,0,2710,7.904703913873747,1,1994,56.24,0,8,48,0,3,1843,309,0,6,23,0,2,0,-9.210340371976182,2.0794540416017115,3.8712030942390543,-9.210340371976182,1.0986456214459,7.519150011929182,5.733341600522288,-9.210340371976182,1.7917761357558344,3.135498563745785,-9.210340371976182,0.693197179309987,-9.210340371976182,0,0,3,0,0,8,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,1.0986456214459,-9.210340371976182,-9.210340371976182,2.0794540416017115,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Occidente,293,63.85463,326.9408,5.680172609017068,4.156609250159254,5.7897791453388034
05004,CONCEJO,3,1384,0.2745664739884393,-1.2925618834571835,2.583210834225666,2.050311434271485,0.9490331345634095,0.7179917007685923,0,0,0,NA,05,ANTIOQUIA,ABRIAQUI,0,0,NA,0,2710,7.904703913873747,7,1994,56.24,0,8,48,0,3,1843,309,0,6,23,0,2,0,-9.210340371976182,2.0794540416017115,3.8712030942390543,-9.210340371976182,1.0986456214459,7.519150011929182,5.733341600522288,-9.210340371976182,1.7917761357558344,3.135498563745785,-9.210340371976182,0.693197179309987,-9.210340371976182,0,0,3,0,0,8,0,0,0,0,0,0,0,-9.210340371976182,-9.210340371976182,1.0986456214459,-9.210340371976182,-9.210340371976182,2.0794540416017115,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Occidente,293,63.85463,326.9408,5.680172609017068,4.156609250159254,5.7897791453388034
05021,ALCALDE,3,2985,0.16850921273031827,-1.780764855726963,2.825398582009166,2.3673608433772064,1.0386494456227044,0.8617757664740332,0,0,0,NA,05,ANTIOQUIA,ALEJANDRIA,0,0,NA,0,4669,8.448700194970938,1,4669,55.6,0,28,182,16,25,6451,556,13,21,80,0,4,2,-9.210340371976182,3.332208081597398,5.204007236527194,2.77259497222025,3.218879824860201,8.771990452033714,6.320768474106681,2.5649570497396432,3.044527199616847,4.3820278846731,-9.210340371976182,1.3863193608073958,0.693197179309987,0,0,3,0,0,13,0,0,1,0,0,0,0,-9.210340371976182,-9.210340371976182,1.0986456214459,-9.210340371976182,-9.210340371976182,2.5649570497396432,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,151,61.11422,241.826,5.017279836814924,4.1127447359516225,5.488218500633858
05021,CONCEJO,7,2785,0.03842010771992818,-3.2591743178994785,5.677071401228337,5.041728127833791,1.736435501391218,1.617748905819209,0,0,0,NA,05,ANTIOQUIA,ALEJANDRIA,0,0,NA,0,4669,8.448700194970938,7,4669,55.6,0,28,182,16,25,6451,556,13,21,80,0,4,2,-9.210340371976182,3.332208081597398,5.204007236527194,2.77259497222025,3.218879824860201,8.771990452033714,6.320768474106681,2.5649570497396432,3.044527199616847,4.3820278846731,-9.210340371976182,1.3863193608073958,0.693197179309987,0,0,3,0,0,13,0,0,1,0,0,0,0,-9.210340371976182,-9.210340371976182,1.0986456214459,-9.210340371976182,-9.210340371976182,2.5649570497396432,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,Oriente,151,61.11422,241.826,5.017279836814924,4.1127447359516225,5.488218500633858
05030,ALCALDE,4,12271,0.20308043354249855,-1.5941531540692042,2.7721356018936483,2.2480130990571072,1.0196179985632414,0.8100467589971668,0,0,0,NA,05,ANTIOQUIA,AMAGA,0,0,NA,0,30777,10.334522936755823,1,22273,52.26,0,18,269,11,35,1990,683,0,6,16,0,3,1,-9.210340371976182,2.890377313436288,5.5947117513489815,2.3979043636661395,3.5553509186281893,7.595889967969793,6.526495005983664,-9.210340371976182,1.7917761357558344,2.77259497222025,-9.210340371976182,1.0986456214459,9.999500033329732e-5,0,0,40,1,0,176,0,0,0,0,0,1,0,-9.210340371976182,-9.210340371976182,3.6888819541108115,9.999500033329732e-5,-9.210340371976182,5.170484563219809,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,Suroeste,85,29.87886,247.8563,4.442651256490317,3.39715154161108,5.512849183089453
05030,CONCEJO,7,11267,0.006124079169255364,-5.095526873566904,5.239453088934215,4.955663226940691,1.6562171205449803,1.6005310088633187,0,0,0,NA,05,ANTIOQUIA,AMAGA,0,0,NA,0,30777,10.334522936755823,13,22273,52.26,0,18,269,11,35,1990,683,0,6,16,0,3,1,-9.210340371976182,2.890377313436288,5.5947117513489815,2.3979043636661395,3.5553509186281893,7.595889967969793,6.526495005983664,-9.210340371976182,1.7917761357558344,2.77259497222025,-9.210340371976182,1.0986456214459,9.999500033329732e-5,0,0,40,1,0,176,0,0,0,0,0,1,0,-9.210340371976182,-9.210340371976182,3.6888819541108115,9.999500033329732e-5,-9.210340371976182,5.170484563219809,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,-9.210340371976182,9.999500033329732e-5,-9.210340371976182,Suroeste,85,29.87886,247.8563,4.442651256490317,3.39715154161108,5.512849183089453
